leagueId,tier,number
02686cb8-d671-4ce8-a13a-161f12ef9bd4,IRON,55
0281895f-7f9a-4cfc-8109-a80b5ece3d5c,BRONZE,63
028279b5-c334-4462-80c4-257c4c773b0d,IRON,7
0284aefa-cc79-4453-b5df-89673970df4f,BRONZE,129
028877ff-3b86-43a5-82eb-56b00c2cad1f,BRONZE,116
02893eed-b8f8-42b7-a12c-8526ef76673c,IRON,17
028debd8-bbf0-4661-9b1e-3040e6b96f92,BRONZE,126
028e2bdd-e248-47d2-a8ac-d07bade3ed30,BRONZE,99
029585c3-a41a-4d8c-92c6-b50f3130c6ee,IRON,38
02ae68df-09f7-46b4-9797-3d1aa65166b7,SILVER,177
02b09672-766a-4198-9365-ceebbfd40ff8,IRON,45
02b608ca-7e86-446a-af57-1d2df5ab90d8,BRONZE,144
02bf27ea-9035-4627-8bc4-86c51b31d192,SILVER,178
02cc17f7-dcf6-4e3e-8a0c-403a79d2ae55,BRONZE,68
02d361f1-8ebc-40d7-8658-ab685476db84,IRON,33
02d5c30b-d286-425d-8669-8cb4d37f654d,SILVER,179
02e64150-04a2-4314-9cb2-280a16e06bd1,BRONZE,104
02e7db56-0e9e-4dee-bcf5-75f77e7afa85,GOLD,159
02e9b31c-119b-4b3b-acaf-cdcd85a9ce56,IRON,26
02ead31b-e496-40a7-ba12-87026af2c479,BRONZE,123
02f261f0-d16e-4112-9d4b-5e680be9338e,BRONZE,64
02f5ab85-ebb4-4f0d-97f2-fbec7eca776b,SILVER,178
02f96758-ee67-45e6-929d-8d3444c7a723,IRON,27
0301ad31-95dd-4a6c-839c-f11a76d186f6,BRONZE,127
03028119-c7df-4196-9da7-52a1e7e826b1,SILVER,178
030addc4-2a1d-4f6d-ac96-d7f793574397,PLATINUM,195
03189be0-b7a3-4001-b4a5-38e0e495f56e,IRON,21
031940c3-6c89-47cd-bba0-0624db73a0c6,BRONZE,153
032565b7-c074-4d47-938e-51bb1050e342,IRON,16
032dd279-accf-4e5e-b636-9637b86e5303,SILVER,103
032fa6d7-882e-4747-9034-7e1de3b8059d,BRONZE,135
0338951d-0d72-436d-ad85-a714f49ef28b,IRON,18
033f3f46-f3ae-4858-9aa9-1021e40c9538,SILVER,97
034a5e19-0ceb-4a1e-9ce3-8b543012adeb,SILVER,178
034ce294-4d05-490e-8c6d-326b14c11815,BRONZE,81
0351e325-3cdc-4c49-bea1-57fbf443250c,GOLD,199
03525c60-1b6c-442b-b9ba-d1a17fbddd59,GOLD,185
03546188-e30b-4fe9-8987-616d7d1d8e11,PLATINUM,138
03570c6a-734d-4c5d-9e3a-5112a97db7df,IRON,66
03572ff2-8e30-46ba-a566-bc353265729f,IRON,54
03585f3e-e025-4db1-bc7a-4f6c3fc38036,SILVER,174
035de41e-6705-4035-99f5-f975d1bbd6b1,IRON,92
036374b5-b8ce-42f8-b078-9fd24f8d886c,GOLD,198
036709ef-e401-4aed-817c-fccbd41d823c,BRONZE,135
03682976-1e13-4777-8cdb-a0a5b7a2e5ad,IRON,38
